Phylum	Family	Species	Strain/Accession	Isolate	Location	SSU	ITS	LSU	SSU-ITS-LSU	Notes	Reference(s)	FASTA Header	FASTA Header Formatted
Blastocladiomycota	Blastocladiaceae	Allomyces macrogynus	CZEUM1750	Burma_3-35	Myanmar	EF014364	JN943673	JN941230	NA	NA	"Liu et al. 2006, Schoch et al. 2012"	>Allomyces macrogynus CZEUM1750 Myanmar	>Allomyces_macrogynus_CZEUM1750_Myanmar
Blastocladiomycota	Blastocladiaceae	Allomyces moniliformis	CZEUM1636	India_3	India	HQ888688	HQ888725	HQ888744	NA	NA	Porter et al. 2011	>Allomyces moniliformis CZEUM1636 India	>Allomyces_moniliformis_CZEUM1636_India
Blastocladiomycota	Blastocladiaceae	Allomyces moniliformis	NA	WM105	Mexico	HQ888693	HQ888728	HQ888748	NA	CZEUM1861 deceased	Porter et al. 2011	>Allomyces moniliformis WM105 Mexico	>Allomyces_moniliformis_WM105_Mexico
Blastocladiomycota	Blastocladiaceae	Allomyces neomoniliformis	NA	CBS105.52	NA	HQ888689	JN943674	HQ888745	NA	CZEUM1860 deceased	"Porter et al. 2011, Schoch et al. 2012"	>Allomyces neomoniliformis CBS105.52	>Allomyces_neomoniliformis_CBS105.52
Blastocladiomycota	Blastocladiaceae	Blastocladia pringsheimii	NA	WM102	USA-NC	HQ888696	NA	NA	NA	CZEUM1864 deceased	Porter et al. 2011	>Blastocladia pringsheimii WM102 USA-NC	>Blastocladia_pringsheimii_WM102_USA-NC
Blastocladiomycota	Blastocladiaceae	Blastocladia ramosa	NA	WM101	USA-NC	HQ888695	NA	NA	NA	CZEUM1863 deceased	Porter et al. 2011	>Blastocladia ramosa WM101 USA-NC	>Blastocladia_ramosa_WM101_USA-NC
Blastocladiomycota	Blastocladiaceae	Blastocladiella britannica	NA	Barr214	UK	HQ888699	HQ888730	HQ888750	NA	CZEUM1092 deceased	Porter et al. 2011	>Blastocladiella britannica Barr214 UK	>Blastocladiella_britannica_Barr214_UK
Blastocladiomycota	Blastocladiaceae	Blastocladiella britannica	JMRC34716	FSU2500	UK	NA	JN943014	JN939183	NA	"SSU JQ014017 extremely long branch, questionable, removed"	Schoch et al. 2012	>Blastocladiella britannica JMRC34716 UK	>Blastocladiella_britannica_JMRC34716_UK
Blastocladiomycota	Blastocladiaceae	Blastocladiella emersonii	NA	UCB49-1	USA-PA	AY635842	AY997032	DQ273808	NA	CZEUM1866 deceased	James et al. 2006	>Blastocladiella emersonii UCB49-1 USA-PA	>Blastocladiella_emersonii_UCB49-1_USA-PA
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0363	JEL0363	USA-ME	HQ888698	NA	NA	MT730707	NA	"Porter et al. 2011, Simmons et al. 2020"	>Blastocladiella sp. CZEUM0363 USA-ME	>Blastocladiella_sp._CZEUM0363_USA-ME
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0440	_JEL0440	USA-CO	HQ888697	NA	NA	MT730720	NA	"Porter et al. 2011, Simmons et al. 2020"	>Blastocladiella sp. CZEUM0440 USA-CO	>Blastocladiella_sp._CZEUM0440_USA-CO
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0703	JEL0703	USA-AK	NA	NA	NA	MT730785	NA	Simmons et al. 2020	>Blastocladiella sp. CZEUM0703 USA-AK	>Blastocladiella_sp._CZEUM0703_USA-AK
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0711	JEL0711	USA-AK	NA	NA	NA	MT730790	NA	Simmons et al. 2020	>Blastocladiella sp. CZEUM0711 USA-AK	>Blastocladiella_sp._CZEUM0711_USA-AK
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0730	JEL0730	USA-ME	NA	NA	NA	MT730797	NA	Simmons et al. 2020	>Blastocladiella sp. CZEUM0730 USA-ME	>Blastocladiella_sp._CZEUM0730_USA-ME
Blastocladiomycota	Blastocladiaceae	Blastocladiella sp.	CZEUM0735	JEL0735	USA-ME	NA	NA	NA	MT730800	NA	Simmons et al. 2020	>Blastocladiella sp. CZEUM0735 USA-ME	>Blastocladiella_sp._CZEUM0735_USA-ME
Blastocladiomycota	Catenariaceae	Catenaria anguillulae	CZEUM0194	JEL0194	USA-CA	HQ888709	HQ888736	HQ888759	MT730687	NA	"Porter et al. 2011, Simmons et al. 2020"	>Catenaria anguillulae CZEUM0194 USA-CA	>Catenaria_anguillulae_CZEUM0194_USA-CA
Blastocladiomycota	Catenariaceae	Catenaria anguillulae	CZEUM1075	PL171	NA	FJ804150	OL739371	FJ804154	MT730954	NA	"Karpov et al. 2010, Mondo et al. 2017, Simmons et al. 2020"	>Catenaria anguillulae CZEUM1075	>Catenaria_anguillulae_CZEUM1075
Blastocladiomycota	Catenariaceae	Catenaria anguillulae	NA	Barr105	NA	HQ888704	HQ888732	HQ888755	NA	CZEUM1271 deceased	Porter et al. 2011	>Catenaria anguillulae Barr105	>Catenaria_anguillulae_Barr105
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0339	JEL0339	USA-GA	HQ888703	HQ888731	HQ888754	MT730698	NA	"Porter et al. 2011, Simmons et al. 2020"	>Catenaria sp. CZEUM0339 USA-GA	>Catenaria_sp._CZEUM0339_USA-GA
Blastocladiomycota	Catenariaceae	Catenaria sp.	NA	JEL0589	USA-ME	HQ888706	HQ888734	HQ888757	NA	CZEUM0598 deceased	Porter et al. 2011	>Catenaria sp. JEL0589 USA-ME	>Catenaria_sp._JEL0589_USA-ME
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0748	JEL0748	USA-MI	NA	NA	NA	MT730805	NA	Simmons et al. 2020	>Catenaria sp. CZEUM0748 USA-MI	>Catenaria_sp._CZEUM0748_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0871	JEL0871	NA	NA	NA	NA	MT730859	NA	Simmons et al. 2020	>Catenaria sp. CZEUM0871	>Catenaria_sp._CZEUM0871
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0898	JEL0898	USA-MA	NA	NA	NA	MT730878	NA	Simmons et al. 2020	>Catenaria sp. CZEUM0898 USA-MA	>Catenaria_sp._CZEUM0898_USA-MA
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0912	JEL0912	NA	NA	NA	NA	MT730890	NA	Simmons et al. 2020	>Catenaria sp. CZEUM0912	>Catenaria_sp._CZEUM0912
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM0913	JEL0913	NA	NA	NA	NA	MT730891	NA	Simmons et al. 2020	>Catenaria sp. CZEUM0913	>Catenaria_sp._CZEUM0913
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM1248	PLAUS Ad 2-0 poly	Australia	HQ888708	HQ888735	HQ888758	NA	NA	Porter et al. 2011	>Catenaria sp. CZEUM1248 Australia	>Catenaria_sp._CZEUM1248_Australia
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM1703	UM1556	USA-MI	NA	NA	NA	MT730974	NA	Simmons et al. 2020	>Catenaria sp. CZEUM1703 USA-MI	>Catenaria_sp._CZEUM1703_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM1709	UM1562	USA-MI	NA	NA	NA	MT730977	NA	Simmons et al. 2020	>Catenaria sp. CZEUM1709 USA-MI	>Catenaria_sp._CZEUM1709_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria sp.	CZEUM1722	UM1566	USA-MI	NA	NA	NA	MT730981	NA	Simmons et al. 2020	>Catenaria sp. CZEUM1722 USA-MI	>Catenaria_sp._CZEUM1722_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria sp.	NA	WM099	USA-VA	HQ888705	HQ888733	HQ888756	NA	CZEUM1870 deceased	Porter et al. 2011	>Catenaria sp. WM099 USA-VA	>Catenaria_sp._WM099_USA-VA
Blastocladiomycota	Catenariaceae	Catenaria sp.	NA	AP04	USA-NC	HQ888710	HQ888737	HQ888760	NA	CZEUM1871 deceased	Porter et al. 2011	>Catenaria sp. AP04 USA-NC	>Catenaria_sp._AP04_USA-NC
Blastocladiomycota	Catenariaceae	Catenaria sp.	NA	PSC066	USA-MI	NA	NA	NA	OQ702867	NA	Seto et al. 2023	>Catenaria sp. PSC066 USA-MI	>Catenaria_sp._PSC066_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria sp.	NA	PSC048	USA-MI	NA	NA	NA	OQ702862	NA	Seto et al. 2023	>Catenaria sp. PSC048 USA-MI	>Catenaria_sp._PSC048_USA-MI
Blastocladiomycota	Catenariaceae	Catenaria spinosa	NA	WM100	USA-NC	HQ888702	NA	HQ888753	NA	CZEUM1869 deceased	Porter et al. 2011	>Catenaria spinosa WM100 USA-NC	>Catenaria_spinosa_WM100_USA-NC
Blastocladiomycota	Catenariaceae	Catenaria uncinata	NA	WM103B	USA-VA	HQ888700	NA	HQ888751	NA	CZEUM1867 deceased	Porter et al. 2011	>Catenaria uncinata WM103B USA-VA	>Catenaria_uncinata_WM103B_USA-VA
Blastocladiomycota	Catenariaceae	Catenaria uncinata	NA	WM103	USA-VA	HQ888701	NA	HQ888752	NA	CZEUM1868 deceased	Porter et al. 2011	>Catenaria uncinata WM103 USA-VA	>Catenaria_uncinata_WM103_USA-VA
Blastocladiomycota	Catenariaceae	Catenophlyctis sp.	NA	JEL0298	USA-AZ	AY635822	AY997034	DQ273780	NA	CZEUM0298 deceased	James et al. 2006	>Catenophlyctis sp. JEL0298 USA-AZ	>Catenophlyctis_sp._JEL0298_USA-AZ
Blastocladiomycota	Catenariaceae	Catenophlyctis sp.	CZEUM0575	JEL0575	USA-TX	NA	NA	NA	MT730750	NA	Simmons et al. 2020	>Catenophlyctis sp. CZEUM0575 USA-TX	>Catenophlyctis_sp._CZEUM0575_USA-TX
Blastocladiomycota	_Coelomomycetaceae	Coelomomyces stegomyiae	NA	DUH8925	NA	AF322406	NA	DQ273767	NA	CZEUM1872 deceased; ITS sequence AY997038 is bad (no recognizable primer sites for rDNA)	James et al. 2006	>Coelomomyces stegomyiae DUH8925	>Coelomomyces_stegomyiae_DUH8925
Blastocladiomycota	_Coelomomycetaceae	Coelomycidium sp.	NA	TP-2011-1	Sweden	HQ888714	NA	NA	NA	NA	Porter et al. 2011	>Coelomycidium sp. TP-2011-1 Sweden	>Coelomycidium_sp._TP-2011-1_Sweden
Blastocladiomycota	_Coelomomycetaceae	Coelomycidium sp.	NA	TP-2011-2	Sweden	HQ888715	NA	NA	NA	NA	Porter et al. 2011	>Coelomycidium sp. TP-2011-2 Sweden	>Coelomycidium_sp._TP-2011-2_Sweden
Blastocladiomycota	Blastocladiaceae	Microallomyces dendroideus	NA	CR74	Costa Rica	AY635840	AY997059	DQ273805	NA	CZEUM1865 deceased	James et al. 2006	>Microallomyces dendroideus CR74 Costa Rica	>Microallomyces_dendroideus_CR74_Costa_Rica
Blastocladiomycota	incertae sedis	Myrmicinosporidium durum	NA	MG209D	Poland	MW783675	MW783679	NA	NA	NA	Gorczak and Trigos-Peral 2021	>Myrmicinosporidium durum MG209D Poland	>Myrmicinosporidium_durum_MG209D_Poland
Blastocladiomycota	incertae sedis	Myrmicinosporidium durum	NA	MG209H	Poland	MW783676	MW783682	NA	NA	NA	Gorczak and Trigos-Peral 2021	>Myrmicinosporidium durum MG209H Poland	>Myrmicinosporidium_durum_MG209H_Poland
Blastocladiomycota	Physodermataceae	Paraphysoderma sedebokerense	CZEUM0821	JEL0821	NA	NA	OM238193	NA	MT730831	NA	"Simmons et al. 2020, LaButti et al. 2022, Amses et al. 2022"	>Paraphysoderma sedebokerense CZEUM0821	>Paraphysoderma_sedebokerense_CZEUM0821
Blastocladiomycota	Physodermataceae	Paraphysoderma sedebokerense	NA	FD61	USA-NM	KJ563218	KJ569527	KJ569526	NA	NA	Letcher et al. 2016	>Paraphysoderma sedebokerense FD61 USA-NM	>Paraphysoderma_sedebokerense_FD61_USA-NM
Blastocladiomycota	Physodermataceae	Paraphysoderma sedebokerense	NA	EPG02	China	MN911378	MT632634	MT012156	NA	NA	Ding et al. 2020	>Paraphysoderma sedebokerense EPG02 China	>Paraphysoderma_sedebokerense_EPG02_China
Blastocladiomycota	Physodermataceae	Paraphysoderma sedebokerense	NA	TJ-2007a	Sweden	EF565163	NA	NA	NA	NA	Hoffman et al. 2008	>Paraphysoderma sedebokerense TJ-2007a Sweden	>Paraphysoderma_sedebokerense_TJ-2007a_Sweden
Blastocladiomycota	Physodermataceae	Physoderma dulichii	NA	BL060	USA-MI	DQ536472	NA	NA	NA	CZEUM1873 deceased	James et al. 2006	>Physoderma dulichii BL060 USA-MI	>Physoderma_dulichii_BL060_USA-MI
Blastocladiomycota	Physodermataceae	Physoderma lycopi	NA	RMJ-1957	USA-MI	HQ888716	NA	NA	NA	NA	Porter et al. 2011	>Physoderma lycopi RMJ-1957 USA-MI	>Physoderma_lycopi_RMJ-1957_USA-MI
Blastocladiomycota	Physodermataceae	Physoderma maculare	NA	BL135	NA	DQ536489	NA	NA	NA	CZEUM1875 deceased	James et al. 2006	>Physoderma maculare BL135	>Physoderma_maculare_BL135
Blastocladiomycota	Physodermataceae	Physoderma maydis	NA	DUH7932	NA	AY601708	AY997072	DQ273768	NA	CZEUM1874 deceased	James et al. 2006	>Physoderma maydis DUH7932	>Physoderma_maydis_DUH7932
Blastocladiomycota	incertae sedis	rotifer parasite	NA	PSC224	USA-MI	NA	NA	NA	OQ702914	NA	Seto et al. 2023	>rotifer parasite PSC224 USA-MI	>rotifer_parasite_PSC224_USA-MI
Blastocladiomycota	Sorochytriaceae	Sorochytrium milnesiophthora	CZEUM2018	S1865.1	Finland	NA	PV074871	NA	PV075035	NA	this study	>Sorochytrium milnesiophthora CZEUM2018 Finland	>Sorochytrium_milnesiophthora_CZEUM2018_Finland
Blastocladiomycota	Physodermataceae	Urophlyctis pulposa	MICH335174	YL-1958	USA-MI	HQ888718	NA	NA	NA	NA	Porter et al. 2011	>Urophlyctis pulposa MICH335174 USA-MI	>Urophlyctis_pulposa_MICH335174_USA-MI
Blastocladiomycota	Physodermataceae	Urophlyctis trifolii	MICH335230	RA-1944	USA-SC	HQ888717	NA	NA	NA	NA	Porter et al. 2011	>Urophlyctis trifolii MICH335230 USA-SC	>Urophlyctis_trifolii_MICH335230_USA-SC
Sanchytriomycota	Sanchytriaceae	Amoeboradix gromovi	NA	X-113	Russia	NA	NA	NA	MG256970	NA	Karpov et al. 2018	>Amoeboradix gromovi X-113 Russia	>Amoeboradix_gromovi_X-113_Russia
Sanchytriomycota	Sanchytriaceae	Sanchytrium tribonematis	NA	X-128	Russia	NA	NA	NA	KY652374	NA	Karpov et al. 2017	>Sanchytrium tribonematis X-128 Russia	>Sanchytrium_tribonematis_X-128_Russia
